Problem 4
A, m, coins, time
2000, 40, [0 0 0 0 40 ],  0
2005, 41, [0 1 0 0 40 ],  0
2010, 41, [0 0 1 0 40 ],  0
2015, 42, [0 1 1 0 40 ],  0
2020, 42, [0 0 2 0 40 ],  0
2025, 41, [0 0 0 1 40 ],  0
2030, 42, [0 1 0 1 40 ],  0
2035, 42, [0 0 1 1 40 ],  0
2040, 43, [0 1 1 1 40 ],  0
2045, 43, [0 0 2 1 40 ],  0
2050, 41, [0 0 0 0 41 ],  0
2055, 42, [0 1 0 0 41 ],  0
2060, 42, [0 0 1 0 41 ],  0
2065, 43, [0 1 1 0 41 ],  0
2070, 43, [0 0 2 0 41 ],  0
2075, 42, [0 0 0 1 41 ],  0
2080, 43, [0 1 0 1 41 ],  0
2085, 43, [0 0 1 1 41 ],  0
2090, 44, [0 1 1 1 41 ],  0
2095, 44, [0 0 2 1 41 ],  0
2100, 42, [0 0 0 0 42 ],  0
2105, 43, [0 1 0 0 42 ],  0
2110, 43, [0 0 1 0 42 ],  0
2115, 44, [0 1 1 0 42 ],  0
2120, 44, [0 0 2 0 42 ],  0
2125, 43, [0 0 0 1 42 ],  0
2130, 44, [0 1 0 1 42 ],  0
2135, 44, [0 0 1 1 42 ],  0
2140, 45, [0 1 1 1 42 ],  0
2145, 45, [0 0 2 1 42 ],  0
2150, 43, [0 0 0 0 43 ],  0
2155, 44, [0 1 0 0 43 ],  0
2160, 44, [0 0 1 0 43 ],  0
2165, 45, [0 1 1 0 43 ],  0
2170, 45, [0 0 2 0 43 ],  0
2175, 44, [0 0 0 1 43 ],  0
2180, 45, [0 1 0 1 43 ],  0
2185, 45, [0 0 1 1 43 ],  0
2190, 46, [0 1 1 1 43 ],  0
2195, 46, [0 0 2 1 43 ],  0
2200, 44, [0 0 0 0 44 ],  0


Problem 5-a
A, m, coins, time
2000, 36, [0 1 1 1 0 0 33 ],  0
2001, 37, [1 1 1 1 0 0 33 ],  0
2002, 37, [0 2 1 1 0 0 33 ],  0
2003, 38, [1 2 1 1 0 0 33 ],  1
2004, 34, [0 0 0 0 1 0 33 ],  1
2005, 35, [1 0 0 0 1 0 33 ],  1
2006, 35, [0 1 0 0 1 0 33 ],  1
2007, 36, [1 1 0 0 1 0 33 ],  1
2008, 36, [0 2 0 0 1 0 33 ],  1
2009, 37, [1 2 0 0 1 0 33 ],  1
2010, 35, [0 0 1 0 1 0 33 ],  1
2011, 36, [1 0 1 0 1 0 33 ],  1
2012, 36, [0 1 1 0 1 0 33 ],  1
2013, 37, [1 1 1 0 1 0 33 ],  1
2014, 37, [0 2 1 0 1 0 33 ],  1
2015, 38, [1 2 1 0 1 0 33 ],  1
2016, 34, [0 0 0 0 0 2 32 ],  1
2017, 35, [1 0 0 0 0 2 32 ],  1
2018, 35, [0 1 0 0 0 2 32 ],  1
2019, 36, [1 1 0 0 0 2 32 ],  1
2020, 36, [0 2 0 0 0 2 32 ],  1
2021, 37, [1 2 0 0 0 2 32 ],  1
2022, 35, [0 0 1 0 0 2 32 ],  1
2023, 36, [1 0 1 0 0 2 32 ],  1
2024, 36, [0 1 1 0 0 2 32 ],  1
2025, 37, [1 1 1 0 0 2 32 ],  1
2026, 37, [0 2 1 0 0 2 32 ],  1
2027, 38, [1 2 1 0 0 2 32 ],  1
2028, 34, [0 0 0 0 0 1 33 ],  1
2029, 35, [1 0 0 0 0 1 33 ],  1
2030, 35, [0 1 0 0 0 1 33 ],  1
2031, 36, [1 1 0 0 0 1 33 ],  1
2032, 36, [0 2 0 0 0 1 33 ],  1
2033, 37, [1 2 0 0 0 1 33 ],  1
2034, 35, [0 0 1 0 0 1 33 ],  1
2035, 36, [1 0 1 0 0 1 33 ],  1
2036, 36, [0 1 1 0 0 1 33 ],  1
2037, 37, [1 1 1 0 0 1 33 ],  1
2038, 37, [0 2 1 0 0 1 33 ],  2
2039, 38, [1 2 1 0 0 1 33 ],  2
2040, 34, [0 0 0 0 0 0 34 ],  2
2041, 35, [1 0 0 0 0 0 34 ],  2
2042, 35, [0 1 0 0 0 0 34 ],  2
2043, 36, [1 1 0 0 0 0 34 ],  2
2044, 36, [0 2 0 0 0 0 34 ],  2
2045, 37, [1 2 0 0 0 0 34 ],  2
2046, 35, [0 0 1 0 0 0 34 ],  2
2047, 36, [1 0 1 0 0 0 34 ],  2
2048, 36, [0 1 1 0 0 0 34 ],  2
2049, 37, [1 1 1 0 0 0 34 ],  2
2050, 37, [0 2 1 0 0 0 34 ],  2
2051, 38, [1 2 1 0 0 0 34 ],  2
2052, 35, [0 0 0 1 0 0 34 ],  2
2053, 36, [1 0 0 1 0 0 34 ],  2
2054, 36, [0 1 0 1 0 0 34 ],  2
2055, 37, [1 1 0 1 0 0 34 ],  2
2056, 37, [0 2 0 1 0 0 34 ],  2
2057, 38, [1 2 0 1 0 0 34 ],  2
2058, 36, [0 0 1 1 0 0 34 ],  2
2059, 37, [1 0 1 1 0 0 34 ],  2
2060, 37, [0 1 1 1 0 0 34 ],  2
2061, 38, [1 1 1 1 0 0 34 ],  2
2062, 38, [0 2 1 1 0 0 34 ],  2
2063, 39, [1 2 1 1 0 0 34 ],  2
2064, 35, [0 0 0 0 1 0 34 ],  2
2065, 36, [1 0 0 0 1 0 34 ],  2
2066, 36, [0 1 0 0 1 0 34 ],  2
2067, 37, [1 1 0 0 1 0 34 ],  2
2068, 37, [0 2 0 0 1 0 34 ],  2
2069, 38, [1 2 0 0 1 0 34 ],  2
2070, 36, [0 0 1 0 1 0 34 ],  2
2071, 37, [1 0 1 0 1 0 34 ],  2
2072, 37, [0 1 1 0 1 0 34 ],  3
2073, 38, [1 1 1 0 1 0 34 ],  3
2074, 38, [0 2 1 0 1 0 34 ],  3
2075, 39, [1 2 1 0 1 0 34 ],  3
2076, 35, [0 0 0 0 0 2 33 ],  3
2077, 36, [1 0 0 0 0 2 33 ],  3
2078, 36, [0 1 0 0 0 2 33 ],  3
2079, 37, [1 1 0 0 0 2 33 ],  3
2080, 37, [0 2 0 0 0 2 33 ],  3
2081, 38, [1 2 0 0 0 2 33 ],  3
2082, 36, [0 0 1 0 0 2 33 ],  3
2083, 37, [1 0 1 0 0 2 33 ],  3
2084, 37, [0 1 1 0 0 2 33 ],  3
2085, 38, [1 1 1 0 0 2 33 ],  3
2086, 38, [0 2 1 0 0 2 33 ],  3
2087, 39, [1 2 1 0 0 2 33 ],  3
2088, 35, [0 0 0 0 0 1 34 ],  3
2089, 36, [1 0 0 0 0 1 34 ],  3
2090, 36, [0 1 0 0 0 1 34 ],  3
2091, 37, [1 1 0 0 0 1 34 ],  3
2092, 37, [0 2 0 0 0 1 34 ],  3
2093, 38, [1 2 0 0 0 1 34 ],  3
2094, 36, [0 0 1 0 0 1 34 ],  3
2095, 37, [1 0 1 0 0 1 34 ],  3
2096, 37, [0 1 1 0 0 1 34 ],  3
2097, 38, [1 1 1 0 0 1 34 ],  3
2098, 38, [0 2 1 0 0 1 34 ],  3
2099, 39, [1 2 1 0 0 1 34 ],  3
2100, 35, [0 0 0 0 0 0 35 ],  3
2101, 36, [1 0 0 0 0 0 35 ],  3
2102, 36, [0 1 0 0 0 0 35 ],  3
2103, 37, [1 1 0 0 0 0 35 ],  3
2104, 37, [0 2 0 0 0 0 35 ],  3
2105, 38, [1 2 0 0 0 0 35 ],  3
2106, 36, [0 0 1 0 0 0 35 ],  3
2107, 37, [1 0 1 0 0 0 35 ],  3
2108, 37, [0 1 1 0 0 0 35 ],  3
2109, 38, [1 1 1 0 0 0 35 ],  3
2110, 38, [0 2 1 0 0 0 35 ],  3
2111, 39, [1 2 1 0 0 0 35 ],  3
2112, 36, [0 0 0 1 0 0 35 ],  3
2113, 37, [1 0 0 1 0 0 35 ],  3
2114, 37, [0 1 0 1 0 0 35 ],  3
2115, 38, [1 1 0 1 0 0 35 ],  3
